,X:,Y_srk,Y_brus
0,3.0,13.079511007495048,12.128189721298742
1,3.5,13.799390184648663,12.652385857026626
2,4.0,14.50626878053245,13.178052500637039
3,4.5,15.20713190905445,13.709187552884593
4,5.0,15.909468919478032,14.242888459989722
5,5.5,16.610320969284476,14.783435659764631
6,6.0,17.314021814831936,15.331772281565048
7,6.5,18.029202897159745,15.881266061064036
8,7.0,18.749432038048642,16.439946894397515
9,7.5,19.475834891381606,17.0050152163282
10,8.0,20.218026843257153,17.57009209061462
